Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00589404771376543","-0,172216921474908","0,0957187730055203",0,0,0,"10,9085561099122","0,0835006955896213","-0,000486302956665482","-1,68830866381301E-05","0,0780175982250961","-0,000372207979748105","0,144629915038495",0,0,0,0,0,0,package://pipoudou/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/base_link.STL,,corpsricaURDF-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Joint_Link_1,"-0,0419354714749062","0,0571907967511279","-0,0194583189020789",0,0,0,"4,05461553371115","0,0186674836378778","0,00144429847151249","0,000894000961160699","0,0327190095637458","0,000447725667688059","0,0226784769639849",0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_1.STL,,URDF-B1 axe 1-1,Origin_Joint_Link_1,Axis_Joint_Link_1,Joint_Link_1,continuous,0,0,"0,126","1,5708",0,0,base_link,0,1,0,,,,,,,,,,,,
Joint_Link_2,"-0,00530103912834451","-0,267556363757934","-0,201059920551774",0,0,0,"2,14091331405897","0,0351900118557783","-0,00115816661681989","-0,000870324597093157","0,0151835424012374","-0,0159425460381403","0,0244184526983205",0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_2.STL,,URDF-B2 axe 2-1,Origin_Joint_Link_2,Axis_Joint_Link_2,Joint_Link_2,continuous,"-0,0015","0,0542",0,"1,5707963267949","1,5707963267949",0,Joint_Link_1,1,0,0,,,,,,,,,,,,
Joint_Link_3,"0,00781705470548592","-0,352845842017961","-0,094791262080411",0,0,0,"2,05117896930323","0,0447591316884685","0,00202554005626431","0,000544156896478173","0,00549957380946362","-0,0107586884747149","0,042656832970381",0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_3.STL,,URDF-B3 axe 3-1,Origin_Joint_Link_3,Axis_Joint_Link_3,Joint_Link_3,continuous,"0,0729999976962511","-0,279802779166052","-0,21026270498443","-3,14159265358979",0,0,Joint_Link_2,1,0,0,,,,,,,,,,,,
Joint_Link_4,"-0,00128145900425441","-0,00643282828050407","-0,0156990390541649",0,0,0,"0,479895774970971","0,000704597872477017","3,95597557777906E-06","9,65438721271254E-06","0,000430271991839334","3,22728443924336E-05","0,000583030081586466",0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Joint_Link_4.STL,,URDF-B4 axe 4-1,Origin_Joint_Link_4,Axis_Joint_Link_4,Joint_Link_4,continuous,"-0,0730000000000001","-0,386302779166053","-0,103779394913364","3,14159265358979",0,"3,14159265358979",Joint_Link_3,1,0,0,,,,,,,,,,,,
Hand_Link,"0,003538022414353","0,0934009674500111","0,00572272841520698",0,0,0,"0,270355978196213","0,000246871496337952","8,77420170325517E-07","-2,4101072455635E-07","0,000198420179541911","2,18406704397907E-06","0,000248795450899793",0,0,0,0,0,0,package://pipoudou/meshes/Hand_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Hand_Link.STL,,base pince urdf-1,Origin_Hand_Link,Axis_Hand_Link,Hand_Link,continuous,0,"-0,022","0,0279","1,5707963267949",0,"-1,57079632679491",Joint_Link_4,0,1,0,,,,,,,,,,,,
Finger_link_1,"1,45666936846034E-09","0,0542700697214627","0,00419209902056168",0,0,0,"0,00737946646756108","1,64260095148187E-06","3,13372896015046E-14","9,35831460991248E-15","3,87683699423791E-07","3,9770445208839E-08","1,42567240614298E-06",0,0,0,0,0,0,package://pipoudou/meshes/Finger_link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Finger_link_1.STL,,doigt pince urdf-4,Origin_Finger_link_1,Axis_Finger_link_1,Finger_link_1,continuous,"-0,015","0,168","0,0259807621135345","-0,249776778199149","-0,5235987755983",0,Hand_Link,1,0,0,,,,,,,,,,,,
Finger_link_2,"1,45667027042683E-09","0,0542700697214612","0,00419209902056353",0,0,0,"0,00737946646756108","1,64260095148187E-06","3,13372893341082E-14","9,35831476283802E-15","3,8768369942379E-07","3,97704452088391E-08","1,42567240614298E-06",0,0,0,0,0,0,package://pipoudou/meshes/Finger_link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Finger_link_2.STL,,doigt pince urdf-5,Origin_Finger_link_2,Axis_Finger_link_2,Finger_link_2,continuous,"0,0300000000000032","0,168000000000006",0,"0,24977677819926","1,5707963267949",0,Hand_Link,1,0,0,,,,,,,,,,,,
Finger_link_3,"1,46086900909559E-09","0,0542700696800847","0,00419209904821059",0,0,0,"0,00737946643540091","1,64260095006934E-06","3,15464630808837E-14","9,61441978607514E-15","3,87683698622118E-07","3,97704458796477E-08","1,42567240579581E-06",0,0,0,0,0,0,package://pipoudou/meshes/Finger_link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://pipoudou/meshes/Finger_link_3.STL,,doigt pince urdf-1,Origin_Finger_link_3,Axis_Finger_link_3,Finger_link_3,continuous,"-0,0149999999999997","0,168000000000001","-0,0259807621135309","2,89181587539058","-0,523598775598316","3,14159265358979",Hand_Link,1,0,0,,,,,,,,,,,,
